Name,Role,Type,Units,Description,Missing Values
ID,id,categorical,,,No
Diagnosis,target,categorical,,,No
radius1,feature,continuous,,,No
texture1,feature,continuous,,,No
perimeter1,feature,continuous,,,No
area1,feature,continuous,,,No
smoothness1,feature,continuous,,,No
compactness1,feature,continuous,,,No
concavity1,feature,continuous,,,No
concave_points1,feature,continuous,,,No
symmetry1,feature,continuous,,,No
fractal_dimension1,feature,continuous,,,No
radius2,feature,continuous,,,No
texture2,feature,continuous,,,No
perimeter2,feature,continuous,,,No
area2,feature,continuous,,,No
smoothness2,feature,continuous,,,No
compactness2,feature,continuous,,,No
concavity2,feature,continuous,,,No
concave_points2,feature,continuous,,,No
symmetry2,feature,continuous,,,No
fractal_dimension2,feature,continuous,,,No
radius3,feature,continuous,,,No
texture3,feature,continuous,,,No
perimeter3,feature,continuous,,,No
area3,feature,continuous,,,No
smoothness3,feature,continuous,,,No
compactness3,feature,continuous,,,No
concavity3,feature,continuous,,,No
concave_points3,feature,continuous,,,No
symmetry3,feature,continuous,,,No
fractal_dimension3,feature,continuous,,,No